eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
humo -> moto (0.99), pub (0.97), oconnor (0.88), sinead (0.87), cubrir (0.86), afeitada (0.83), envuelta (0.80), pañuelo (0.80), último (0.77), mono (0.76)
pub -> humo (0.97), oconnor (0.96), sinead (0.95), moto (0.93), afeitada (0.91), envuelta (0.81), hacía (0.79), frio (0.78), dudé (0.78), entré… (0.75)
oconnor -> sinead (1.00), afeitada (0.98), pub (0.96), humo (0.88), moto (0.83), hacía (0.81), frio (0.80), dudé (0.79), saliste (0.78), entré… (0.78)
sinead -> oconnor (1.00), afeitada (0.99), pub (0.95), humo (0.87), moto (0.82), hacía (0.80), frio (0.80), dudé (0.79), entré… (0.78), saliste (0.77)
afeitada -> sinead (0.99), oconnor (0.98), pub (0.91), humo (0.83), frio (0.80), vеrás (0.79), hacía (0.79), amarguras (0.79), pareció (0.78), entré… (0.78)
daño -> hagas (0.84), juro (0.80), rogar (0.79), quedaba (0.76), desiеrtos (0.76), recostada (0.75), ruego (0.75), prometo (0.75), decídete (0.75), perder (0.74)
rastros -> tropiezos (0.95), envía (0.74), pone (0.74), prometo (0.70), juro (0.70), llenaba (0.70), ánima (0.69), montado (0.69), alazán (0.68), hippie (0.68)
bruja -> perseguirá (0.99), embrujas (0.98), diablo (0.86), sabía (0.76), tuercen (0.75), mantenemos (0.75), puedas (0.75), paciente (0.75), lenta (0.75), manué (0.74)
envía -> descargue (0.87), decido (0.82), alegrarme (0.80), cartas (0.75), abrir (0.75), rastros (0.74), fué (0.74), cantó (0.74), prendió (0.71), triunfarán (0.71)
descargue -> alegrarme (0.98), envía (0.87), culpable (0.86), decido (0.84), rural (0.76), abrir (0.76), cantó (0.75), prendió (0.75), oí (0.75), consciente (0.74)
alegrarme -> descargue (0.98), culpable (0.89), envía (0.80), nieta (0.79), pancho (0.78), cangreja (0.78), pahindo (0.78), decido (0.78), chica (0.77), watergate (0.77)
prendió -> alegrarme (0.76), acostumbraron (0.76), delatan (0.75), descargue (0.75), recodo (0.75), meces (0.75), rojos (0.74), juego (0.73), repitiendo (0.73), atardeceres (0.73)
escucha -> encantos (0.82), hablarlo (0.74), pagar (0.73), viajes (0.73), comprendes (0.72), nombra (0.72), expreso (0.71), lombrices (0.71), camban (0.71), según (0.70)
encantos -> nombra (0.95), cambio (0.83), escucha (0.82), calzoncillos (0.73), cicatrices (0.72), millonarios (0.71), nostalgioso (0.70), lombrices (0.70), tardе (0.69), altamirano (0.69)
nombra -> cambio (0.95), encantos (0.95), calzoncillos (0.76), escucha (0.72), entereza (0.71), hiciste (0.71), consciente (0.71), arrima (0.71), duela (0.70), cuchara (0.70)
cambio -> nombra (0.95), encantos (0.83), pistas (0.77), calzoncillos (0.74), parecer (0.73), obsesión (0.71), coro (0.71), duela (0.71), sabía (0.71), solos (0.70)
pistas -> tropiezo (0.81), prometo (0.80), cambio (0.77), juro (0.76), ricos (0.71), sabía (0.70), dejando (0.70), vuelo (0.70), rural (0.70), fué (0.68)
prometo -> juro (0.98), pistas (0.80), marcha (0.76), daño (0.75), ocurrió (0.75), alzar (0.73), entonces (0.71), rastros (0.70), recostada (0.69), marchan (0.69)
juro -> prometo (0.98), daño (0.80), pistas (0.76), eterno (0.75), ocurrió (0.75), alzar (0.73), marcha (0.73), recostada (0.72), quedaba (0.71), rastros (0.70)
embrujas -> bruja (0.98), perseguirá (0.95), sabía (0.79), diablo (0.78), tuercen (0.78), mantenemos (0.77), manué (0.76), pedazos (0.76), desunidos (0.75), divino (0.75)
pava -> pela (0.99), recíclate (0.96), ponte (0.84), humille (0.84), guille (0.82), ciao (0.77), cuenta (0.77), diablo (0.76), puedas (0.76), perseguirá (0.75)
recíclate -> pela (0.98), pava (0.96), babas (0.86), cuenta (0.83), limpies (0.82), humille (0.81), guille (0.78), enemigo (0.78), parra (0.75), ciao (0.75)
savia -> esencia (0.95), invade (0.87), integra (0.85), achica (0.81), cautiva (0.80), quemo (0.77), miras (0.76), limpia (0.76), acumulan (0.75), caminas (0.75)
gancho -> comencé (0.98), silbar (0.95), llevaba (0.85), tranquilo (0.78), recodo (0.74), llamadas (0.74), acostumbraron (0.73), vereda (0.70), acompasará (0.70), rojos (0.70)
falsario -> vente (0.89), cantó (0.81), barrotes (0.80), jaula (0.79), fué (0.78), lindo (0.76), voló (0.76), rompió (0.75), cogote (0.75), nosotros (0.74)
vente -> lindo (0.96), falsario (0.89), azada (0.81), nosotros (0.79), convenía (0.78), cantara (0.78), tumbe (0.77), partieron (0.76), encerrado (0.75), ramona (0.71)
obsesión -> parecer (0.98), extravió (0.87), unicornio (0.83), pastando (0.77), vocación (0.76), tuviera (0.75), carnaval (0.75), hicimos (0.75), amistad (0.73), pierrot (0.73)
parecer -> obsesión (0.98), extravió (0.86), unicornio (0.86), pastando (0.82), vocación (0.81), hicimos (0.77), pagaré (0.76), amistad (0.75), desapareció (0.75), adolescencia (0.75)
vocación -> saberla (0.94), compartir (0.87), unicornio (0.86), pescaba (0.84), pastando (0.83), parecer (0.81), añil (0.81), pagaré (0.78), hicimos (0.77), millón (0.77)
saberla -> pescaba (0.96), vocación (0.94), añil (0.93), compartir (0.89), cuerno (0.89), cometido (0.78), orgullosa (0.75), fué (0.73), unicornio (0.72), cantó (0.71)
pescaba -> añil (0.99), cuerno (0.97), saberla (0.96), vocación (0.84), compartir (0.83), cometido (0.76), fué (0.73), orgullosa (0.73), redención (0.72), salvochea (0.72)
añil -> pescaba (0.99), cuerno (0.99), saberla (0.93), compartir (0.81), vocación (0.81), cometido (0.74), amistad (0.74), firmó (0.74), pacto (0.72), redención (0.72)
cuerno -> añil (0.99), pescaba (0.97), saberla (0.89), amistad (0.77), compartir (0.77), vocación (0.77), firmó (0.75), pacto (0.74), hicimos (0.73), insobornable (0.72)
amistad -> hicimos (0.99), unicornio (0.84), pagaré (0.83), millón (0.81), vestido (0.78), cuerno (0.77), extravió (0.76), tenías (0.76), vocación (0.76), parecer (0.75)
hicimos -> amistad (0.99), pagaré (0.86), unicornio (0.86), millón (0.83), extravió (0.78), vocación (0.77), parecer (0.77), pastando (0.77), vestido (0.77), tuviera (0.75)
millón -> pagaré (0.96), información (0.91), unicornio (0.89), ruego (0.88), hicimos (0.83), amistad (0.81), pastando (0.80), extravió (0.79), desapareció (0.77), vocación (0.77)
ruego -> millón (0.88), información (0.87), alguien (0.80), pagaré (0.77), pagar (0.76), escribe (0.75), unicornio (0.75), daño (0.75), eras (0.74), spanglish (0.73)
extravió -> obsesión (0.87), parecer (0.86), unicornio (0.84), pagaré (0.80), millón (0.79), hicimos (0.78), repetirlo (0.78), tuviera (0.77), traté (0.77), expreso (0.77)
pagar -> desapareció (0.88), información (0.86), pastando (0.79), millón (0.76), ruego (0.76), pagaré (0.74), cualquier (0.73), flaco (0.73), hippie (0.73), escucha (0.73)
desapareció -> pastando (0.96), pagar (0.88), información (0.87), unicornio (0.79), pagaré (0.79), cualquier (0.78), millón (0.77), vocación (0.76), parecer (0.75), ruego (0.72)
pastando -> desapareció (0.96), unicornio (0.85), vocación (0.83), pagaré (0.83), información (0.83), parecer (0.82), millón (0.80), pagar (0.79), hicimos (0.77), obsesión (0.77)
morenitaa -> oooh (0.97), carnada (0.97), come (0.94), marcho (0.88), eh (0.84), atocha (0.84), conciencia (0.83), dóndе (0.83), 53 (0.82), crié (0.82)
carnada -> come (0.99), oooh (0.99), morenitaa (0.97), marcho (0.96), pintada (0.88), conciencia (0.79), eh (0.79), dóndе (0.76), reafirmó (0.76), atocha (0.76)
come -> carnada (0.99), marcho (0.98), oooh (0.98), morenitaa (0.94), pintada (0.92), uhhhhh (0.81), uhhhh (0.77), conciencia (0.77), eh (0.75), foto (0.75)
marcho -> come (0.98), pintada (0.97), carnada (0.96), oooh (0.94), uhhhhh (0.88), morenitaa (0.88), uhhhh (0.85), llamando (0.78), seguí (0.78), mercromina (0.76)
pintada -> marcho (0.97), uhhhhh (0.96), uhhhh (0.94), come (0.92), carnada (0.88), llamando (0.87), seguí (0.87), mercromina (0.86), oooh (0.84), tarareo (0.84)
uhhhhh -> uhhhh (0.99), pintada (0.96), mercromina (0.92), llamando (0.92), seguí (0.92), tarareo (0.92), uh (0.91), zancadillas (0.90), sanas (0.90), marcho (0.88)
uhhhh -> uhhhhh (0.99), pintada (0.94), mercromina (0.93), tarareo (0.92), uh (0.92), llamando (0.91), seguí (0.91), sanas (0.91), zancadillas (0.91), murión (0.85)
consiguieron -> llamadas (0.98), hacerte (0.89), silbar (0.80), hundió (0.77), pensé (0.76), amordazadas (0.75), amotinen (0.75), meces (0.75), cierres (0.75), comencé (0.75)
llamadas -> consiguieron (0.98), hacerte (0.86), silbar (0.86), comencé (0.81), meces (0.78), amordazadas (0.76), cierres (0.76), amotinen (0.75), delatan (0.75), hundió (0.75)
silbar -> comencé (0.99), gancho (0.95), llamadas (0.86), consiguieron (0.80), acostumbraron (0.78), rojos (0.75), llevaba (0.75), recodo (0.74), prendió (0.73), entierren (0.72)
cantó -> fué (0.98), voló (0.93), rompió (0.90), cogote (0.89), desgañitó (0.87), barrotes (0.85), jaula (0.83), falsario (0.81), cantor (0.79), chéri (0.79)
fué -> cantó (0.98), voló (0.88), rompió (0.84), cogote (0.84), desgañitó (0.82), barrotes (0.81), jaula (0.79), falsario (0.78), chéri (0.78), latin (0.78)
pos -> vientos (0.77), visión (0.74), defienden (0.74), sierra (0.73), canarios (0.72), aroman (0.72), soplan (0.72), fué (0.72), dejarlo (0.72), bautizar (0.71)
malandanza -> dó (0.83), arruina (0.80), mire (0.80), comidos (0.80), gallina (0.79), ocurrencia (0.78), huevos (0.78), arrasando (0.78), poniendo (0.77), suma (0.76)
aspíras -> tienemorenatu (0.96), lisura (0.89), adornada (0.85), canela (0.83), pensamiento (0.80), caminaba (0.79), jazmínes (0.78), airosa (0.78), matizando (0.77), mago (0.76)
tienemorenatu -> aspíras (0.96), despiertas (0.86), soñaste (0.82), pensamiento (0.81), mago (0.80), lisura (0.78), maga (0.77), filme (0.75), regarlos (0.75), olvidaste (0.74)
despiertas -> tienemorenatu (0.86), díga (0.79), soñaste (0.76), regarlos (0.74), levantas (0.74), olvidaste (0.73), contenta (0.72), elevarte (0.72), aspíras (0.71), filme (0.71)
menudo -> alamedamenudo (0.99), pié (0.99), estremece (0.93), rítmo (0.91), puente (0.91), acompasará (0.90), alameda (0.89), engalana (0.89), recogí­a (0.88), rí­o (0.88)
mecen -> perdura (0.92), filme (0.80), regarlos (0.77), soñaste (0.77), imperial (0.77), vigilia (0.77), memoría (0.76), contenta (0.76), olerla (0.76), unió (0.76)
perdura -> mecen (0.92), limeña (0.83), cuente (0.82), gustaste (0.76), ensueño (0.75), evoca (0.75), cine (0.74), leyera (0.74), memoría (0.74), situación (0.74)
memoría -> evoca (0.99), ensueño (0.98), rí­o (0.91), lanzaba (0.90), puente (0.88), alameda (0.88), cuente (0.85), brísa (0.84), menudo (0.83), engalana (0.83)
evoca -> ensueño (0.99), memoría (0.99), rí­o (0.89), cuente (0.88), lanzaba (0.88), alameda (0.87), puente (0.87), limeña (0.86), díga (0.83), menudo (0.81)
ensueño -> evoca (0.99), memoría (0.98), cuente (0.91), limeña (0.88), rí­o (0.86), alameda (0.86), díga (0.86), lanzaba (0.86), puente (0.84), engalana (0.78)
prеgunta -> caso (0.92), vete (0.88), espere (0.83), coqueta (0.82), diera (0.81), pregunta (0.81), salpicona (0.78), madrе (0.77), caminas (0.77), quemo (0.77)
tumbe -> pardelera (0.85), ramona (0.83), terrero (0.82), lindo (0.79), chascona (0.79), vente (0.77), canteras (0.77), lucha (0.76), enantes (0.76), canario (0.75)
lucharon -> lindo (0.77), canario (0.76), azada (0.76), partieron (0.75), lucha (0.75), fataga (0.75), sauzal (0.75), tumbe (0.74), primeras (0.74), cumbe (0.74)
arenales -> cubran (0.96), pesares (0.95), placeres (0.91), vean (0.88), guillén (0.87), peraza (0.86), rompan (0.83), dó (0.80), fernán (0.76), cerrojo (0.76)
sierra -> canarios (0.97), defienden (0.95), fataga (0.77), tagaana (0.76), avistar (0.76), miles (0.76), brilla (0.76), cumbe (0.75), torna (0.75), marino (0.74)
cubran -> pesares (1.00), placeres (0.98), arenales (0.96), vean (0.96), rompan (0.90), cerrojo (0.79), guillén (0.78), baraja (0.76), peraza (0.76), aprenda (0.75)
pesares -> cubran (1.00), placeres (0.99), vean (0.97), arenales (0.95), rompan (0.90), cerrojo (0.78), desvanecen (0.76), silbos (0.76), baraja (0.76), aprenda (0.76)
placeres -> vean (1.00), pesares (0.99), cubran (0.98), rompan (0.94), arenales (0.91), gatos (0.77), desdicha (0.76), cierres (0.76), cerrojo (0.76), tristes (0.75)
vean -> placeres (1.00), pesares (0.97), cubran (0.96), rompan (0.94), arenales (0.88), gatos (0.78), cierres (0.77), desdicha (0.77), tristes (0.76), aprenda (0.76)
rompan -> vean (0.94), placeres (0.94), desdicha (0.92), pesares (0.90), cubran (0.90), arenales (0.83), gatos (0.78), cierres (0.77), aaaahm (0.76), tristes (0.75)
ciprés -> desdicha (0.92), marchita (0.91), brasa (0.88), l (0.86), yé (0.86), rito (0.84), eres… (0.82), odio (0.82), palos (0.81), majoreros (0.80)
marchita -> ciprés (0.91), brasa (0.84), l (0.84), yé (0.81), airosa (0.81), paroles (0.81), cortejan (0.81), chanson (0.80), hubara (0.80), caminaba (0.80)
vala -> damas (0.93), llorad (0.89), os (0.84), guillén (0.83), peraza (0.80), marchita (0.79), buracas (0.78), conozcas (0.77), ausencias (0.75), senderos (0.75)
damas -> llorad (0.99), vala (0.93), os (0.87), valientеs (0.77), bendiga (0.76), rumbos (0.76), ausencias (0.76), guinchos (0.75), adios (0.74), guillén (0.73)
llorad -> damas (0.99), vala (0.89), os (0.84), valientеs (0.80), rumbos (0.79), bendiga (0.78), ausencias (0.74), guinchos (0.74), guardе (0.74), puedas (0.73)
defienden -> canarios (0.99), sierra (0.95), miles (0.77), fijando (0.76), bautizar (0.76), avistar (0.75), bravía (0.74), gala (0.74), torna (0.74), higuera (0.74)
canarios -> defienden (0.99), sierra (0.97), miles (0.78), torna (0.77), bautizar (0.75), fijando (0.75), avistar (0.74), fataga (0.74), bravía (0.74), adеntro (0.74)
comencé -> silbar (0.99), gancho (0.98), llamadas (0.81), llevaba (0.80), acostumbraron (0.76), recodo (0.75), consiguieron (0.75), rojos (0.74), tranquilo (0.74), prendió (0.71)
s -> dibujó (0.96), pensé (0.87), hundió (0.84), estabas (0.80), habías (0.69), pierdes (0.69), veintemil (0.69), escapa (0.68), dará (0.68), tríste (0.68)
matizando -> adornada (0.97), alfombra (0.96), jazmínes (0.90), canela (0.87), engalana (0.86), airosa (0.82), caminaba (0.82), chéri (0.81), lisura (0.81), lover (0.81)
dibujó -> s (0.96), hundió (0.95), pensé (0.87), estabas (0.73), amontonado (0.71), enroscaba (0.71), arena (0.70), consiguieron (0.70), juegos (0.69), volvieras (0.69)
diós -> tono (0.90), unas (0.87), subimos (0.86), guardián (0.83), dedo (0.82), palpitan (0.81), nevado (0.80), celoso (0.80), centinela (0.79), recalada (0.78)
subimos -> diós (0.86), dedo (0.75), morera (0.74), unas (0.72), perejila (0.71), palpitan (0.71), folía (0.70), guardián (0.70), еstaba (0.70), motivos (0.69)
еstaba -> perejila (0.99), vegueta (0.88), morera (0.84), rian (0.80), pa´l (0.79), siguiendo (0.78), roque (0.77), jinco (0.77), barrio (0.76), ana (0.75)
asofa -> tuineje (0.99), breñas (0.91), saltamos (0.87), tafira (0.86), agulo (0.84), perera (0.80), veremundo (0.80), nijota (0.79), pelotera (0.78), tías (0.78)
tuineje -> asofa (0.99), saltamos (0.92), breñas (0.91), agulo (0.90), tafira (0.84), pelotera (0.82), tías (0.82), fuimos (0.79), veremundo (0.79), perera (0.79)
saltamos -> agulo (0.99), pelotera (0.93), tuineje (0.92), asofa (0.87), breñas (0.85), tías (0.83), perera (0.78), fuimos (0.78), fataga (0.78), veremundo (0.78)
agulo -> saltamos (0.99), pelotera (0.96), tuineje (0.90), asofa (0.84), breñas (0.83), tías (0.81), perera (0.79), armó (0.79), veremundo (0.79), nijota (0.78)
pelotera -> agulo (0.96), saltamos (0.93), armó (0.88), tuineje (0.82), estribillos (0.81), tenderete (0.80), perera (0.80), breñas (0.79), veremundo (0.78), asofa (0.78)
estribillos -> cantábamos (0.95), laúd (0.88), timplillo (0.86), isas (0.85), requinto (0.84), bandurrias (0.84), coplas (0.82), guitarras (0.82), pelotera (0.81), marchara (0.80)
cantábamos -> laúd (0.98), timplillo (0.96), estribillos (0.95), requinto (0.95), bandurrias (0.94), guitarras (0.92), isas (0.87), euskaldunak (0.85), egiten (0.84), fernán (0.84)
laúd -> timplillo (0.99), requinto (0.99), bandurrias (0.98), cantábamos (0.98), guitarras (0.97), estribillos (0.88), euskaldunak (0.87), egiten (0.87), fernán (0.85), guantxe (0.85)
timplillo -> requinto (1.00), laúd (0.99), bandurrias (0.99), guitarras (0.98), cantábamos (0.96), euskaldunak (0.89), egiten (0.88), guantxe (0.87), zalantza (0.86), estribillos (0.86)
requinto -> timplillo (1.00), bandurrias (1.00), guitarras (0.99), laúd (0.99), cantábamos (0.95), euskaldunak (0.89), egiten (0.88), guantxe (0.88), zalantza (0.87), ba (0.86)
bandurrias -> guitarras (1.00), requinto (1.00), timplillo (0.99), laúd (0.98), cantábamos (0.94), euskaldunak (0.91), guantxe (0.90), zalantza (0.89), egiten (0.89), ba (0.89)
guitarras -> bandurrias (1.00), requinto (0.99), timplillo (0.98), laúd (0.97), cantábamos (0.92), guantxe (0.90), euskaldunak (0.90), aicá (0.90), aguahae (0.90), zalantza (0.90)
bebí -> pipa (0.97), garrafón (0.94), tinto (0.91), sede (0.85), comí (0.79), lebrillo (0.79), coche (0.76), barrilito (0.76), echele (0.75), arranca (0.74)
pipa -> bebí (0.97), sede (0.93), garrafón (0.90), tinto (0.86), comí (0.86), lebrillo (0.82), barrilito (0.74), olerla (0.71), coche (0.70), oliendo (0.69)
sede -> comí (0.94), pipa (0.93), lebrillo (0.88), bebí (0.85), garrafón (0.82), situación (0.76), leyera (0.74), tinto (0.74), tanta (0.73), gofio (0.72)
llevabas -> guamasa (0.97), esperancera (0.84), ñamera (0.84), salir (0.83), manta (0.82), saliste (0.77), hallar (0.75), afeitada (0.72), oconnor (0.72), caminito (0.72)
calzoncillos -> hiciste (0.97), patrás (0.94), bordar (0.88), alante (0.85), coser (0.83), manta (0.77), making (0.77), mejorar (0.77), instante (0.76), esperancera (0.76)
estrеllas -> amada (0.81), distancia (0.77), crecieron (0.75), niеve (0.75), labios (0.75), altar (0.75), aaaahm (0.74), auroras (0.74), viví (0.74), cumbrе (0.73)
faldas -> dibujan (0.90), tabaibas (0.85), riscos (0.84), confiesa (0.76), aguacero (0.73), esconda (0.72), zapatos (0.72), quemarme (0.72), aval” (0.72), cisco (0.71)
escucharla -> faltas (0.98), surjas (0.91), teléfono (0.84), llamo (0.83), supieras (0.83), sales (0.82), habría (0.79), vivido (0.79), limite (0.77), prеcio (0.76)
surjas -> escucharla (0.91), melodía (0.86), faltas (0.84), bella (0.79), supieras (0.76), teléfono (0.75), llamo (0.75), cabemos (0.74), dividida (0.74), justicia (0.74)
distinto -> apartarte (0.85), creer (0.74), florеciendo (0.74), ayuda (0.73), hablarán (0.71), actual (0.70), escuelas (0.70), creerán (0.70), pinocho (0.70), surjas (0.70)
apartarte -> distinto (0.85), ravelo (0.78), envolviendo (0.74), pueda (0.74), abel (0.73), cáin (0.72), momento (0.70), cuerdo” (0.70), miran (0.68), dеsenmascar (0.68)
acerquense -> sacudanse (1.00), levanntense (0.99), arrimense (0.99), fín (0.97), alegrense (0.97), demás (0.96), renovemos (0.92), gocen (0.90), importa (0.89), bién (0.87)
tono -> recalada (0.92), ibamos (0.90), diós (0.90), celoso (0.81), centinela (0.80), unas (0.80), guardián (0.80), nevado (0.80), saltonas (0.80), palpitan (0.78)
recalada -> saltonas (0.97), ibamos (0.92), tono (0.92), mocanal (0.92), salió (0.87), ramos (0.80), diós (0.78), crosita (0.77), celoso (0.77), bailando (0.76)
saltonas -> mocanal (0.98), recalada (0.97), salió (0.96), ramos (0.89), ibamos (0.87), crosita (0.86), cabral (0.84), tono (0.80), entrе (0.78), bailando (0.78)
separados -> vivamos (0.99), clavadas (0.92), cruces (0.89), haberse (0.87), comprendido (0.87), triquitrá (0.77), triquitraca (0.76), pa´l (0.76), rian (0.74), lunes (0.73)
hundió -> dibujó (0.95), s (0.84), pensé (0.81), clavé (0.78), consiguieron (0.77), instala (0.76), llamadas (0.75), enroscaba (0.73), amontonado (0.73), poro (0.72)
clavé -> hundió (0.78), mana (0.78), consiguieron (0.75), delatan (0.75), viajes (0.74), llamadas (0.74), guiños (0.74), meces (0.73), viera (0.72), enamoro (0.72)
tеstigo -> traerá (0.85), terminó (0.82), dejándome (0.75), amado (0.74), imagen (0.73), revientan (0.73), separó (0.72), testigo (0.72), regleta (0.70), juegos (0.70)
dejándome -> separó (0.99), traerá (0.77), enterradme (0.76), vibra (0.76), hundiendo (0.76), tеstigo (0.75), amado (0.74), integra (0.74), escondidas (0.72), revientan (0.71)
separó -> dejándome (0.99), hundiendo (0.81), vibra (0.77), integra (0.75), enterradme (0.74), traerá (0.74), escondidas (0.73), tеstigo (0.72), roca (0.72), funden (0.72)
hundiendo -> cambió (0.96), irte (0.91), separó (0.81), dejándome (0.76), feroz (0.75), grandeza (0.75), volcará (0.74), nacido (0.73), espiga (0.72), cría (0.71)
cambió -> irte (0.97), hundiendo (0.96), grandeza (0.74), huida (0.72), feroz (0.71), cría (0.71), quisimos (0.70), hallé (0.70), sigues (0.70), rencor (0.70)
irte -> cambió (0.97), hundiendo (0.91), quisimos (0.75), callada (0.74), hallé (0.73), huida (0.72), rencor (0.71), cría (0.71), veneguera (0.70), sanas (0.69)
llámenlos -> llamen (0.98), apaguen (0.90), tula (0.90), bomberos (0.88), anoche (0.86), cogió (0.86), pobrecita (0.81), vela (0.81), apagó (0.81), candela (0.80)
recordar -> elvira (0.88), doña (0.83), difícil (0.72), confesarlo (0.71), iré (0.71), traes (0.70), plan (0.70), aquello (0.70), taxi (0.70), lazo (0.70)
elvira -> doña (0.99), recordar (0.88), plaza (0.79), traes (0.77), rian (0.75), uhhhhh (0.74), mordiendo (0.74), jinco (0.74), barrio (0.74), uhhhh (0.74)
doña -> elvira (0.99), recordar (0.83), plaza (0.82), uhhhhh (0.78), uhhhh (0.77), mordiendo (0.76), traes (0.76), barrio (0.76), mercromina (0.75), pintada (0.74)
vivamos -> separados (0.99), clavadas (0.88), cruces (0.84), haberse (0.83), comprendido (0.83), destino (0.77), pecado (0.77), querido (0.75), pa´l (0.74), rian (0.74)
mocanal -> salió (0.99), saltonas (0.98), ramos (0.93), recalada (0.92), crosita (0.90), cabral (0.88), sebastián (0.82), salimos (0.81), ibamos (0.79), ateneo (0.78)
pecado -> destino (0.79), vivamos (0.77), quisimos (0.76), esperas (0.74), amistad (0.73), atardecer (0.73), adivinado (0.72), separados (0.72), sanas (0.72), mercromina (0.72)
quisimos -> callada (0.96), pecado (0.76), gato (0.76), ratón (0.76), irte (0.75), dejaste (0.74), pirotecnia (0.72), sanas (0.72), vayas (0.71), intimidad (0.71)
callada -> quisimos (0.96), plateada (0.77), pirotecnia (0.76), irte (0.74), lunita (0.72), pertenece (0.70), cambió (0.70), pensamos (0.69), ardemos (0.69), intimidad (0.69)
plateada -> lunita (0.99), sevilla (0.84), tuvo (0.78), larrea (0.78), vivía (0.77), callada (0.77), ciudadanos (0.76), carmelo (0.75), basta (0.74), testigo (0.74)
lunita -> plateada (0.99), sevilla (0.89), larrea (0.83), tuvo (0.80), carmelo (0.80), ciudadanos (0.78), vivía (0.77), basta (0.76), perdon (0.75), encerrado (0.75)
sevilla -> larrea (0.98), carmelo (0.96), lunita (0.89), basta (0.84), plateada (0.84), encerrado (0.83), tuvo (0.82), jaula (0.79), colillas (0.79), ciudadanos (0.77)
larrea -> carmelo (0.99), sevilla (0.98), lunita (0.83), basta (0.82), encerrado (0.82), aititúhu (0.81), aguahai (0.80), aicá (0.80), aicá (0.80), maragá (0.80)
carmelo -> larrea (0.99), sevilla (0.96), aicá (0.84), basta (0.84), aititúhu (0.84), aguahai (0.83), arubitsi (0.83), güere (0.83), maicán (0.83), aititu (0.83)
cabral -> crosita (0.99), ramos (0.98), salimos (0.98), ateneo (0.96), vera (0.91), salió (0.91), sebastián (0.89), mocanal (0.88), saltonas (0.84), sandino (0.78)
crosita -> cabral (0.99), ramos (0.99), salimos (0.96), ateneo (0.94), salió (0.94), vera (0.91), sebastián (0.90), mocanal (0.90), saltonas (0.86), sandino (0.79)
ramos -> crosita (0.99), cabral (0.98), salió (0.96), salimos (0.94), mocanal (0.93), ateneo (0.91), sebastián (0.91), saltonas (0.89), vera (0.88), recalada (0.80)
salió -> mocanal (0.99), ramos (0.96), saltonas (0.96), crosita (0.94), cabral (0.91), recalada (0.87), sebastián (0.87), salimos (0.84), ateneo (0.81), vera (0.79)
adornada -> matizando (0.97), canela (0.93), lisura (0.89), jazmínes (0.89), alfombra (0.89), caminaba (0.88), airosa (0.87), derramaba (0.87), aspíras (0.85), chéri (0.82)
alfombra -> matizando (0.96), engalana (0.95), jazmínes (0.90), adornada (0.89), acompasará (0.87), puente (0.85), rí­o (0.83), alamedamenudo (0.83), menudo (0.83), alameda (0.82)
babas -> limpies (0.99), recíclate (0.86), cuenta (0.80), venda (0.79), pela (0.78), tarta (0.77), enemigo (0.77), pava (0.74), dúda (0.72), rencór (0.72)
rostro -> obsidiana (0.91), personal (0.82), encauzar (0.79), magec (0.79), deshoje (0.74), militar (0.74), espíritu (0.72), solar (0.72), labrar (0.71), libre (0.71)
desguace -> temporal (0.99), dejad (0.95), otoñal (0.91), enterradme (0.86), armas (0.81), bridas (0.80), cernejas (0.79), croar (0.77), medir (0.77), olorеs (0.77)
temporal -> desguace (0.99), dejad (0.98), otoñal (0.95), armas (0.84), enterradme (0.82), bridas (0.80), medir (0.80), cernejas (0.79), barca (0.79), velo (0.78)
dejad -> otoñal (0.99), temporal (0.98), desguace (0.95), barca (0.87), armas (0.84), medir (0.81), bridas (0.78), cernejas (0.77), velo (0.77), hubiera (0.77)
otoñal -> dejad (0.99), temporal (0.95), barca (0.92), desguace (0.91), armas (0.84), empujad (0.81), medir (0.81), hubiera (0.77), parca (0.76), brille (0.75)
barca -> empujad (0.95), otoñal (0.92), parca (0.92), buscarme (0.88), dejad (0.87), temporal (0.79), sevan (0.77), hallarás (0.77), repican (0.76), rogando (0.75)
empujad -> parca (0.99), buscarme (0.97), barca (0.95), otoñal (0.81), rogando (0.77), cáin (0.75), dejad (0.75), sevan (0.75), repican (0.74), echó (0.73)
parca -> empujad (0.99), buscarme (0.99), barca (0.92), otoñal (0.76), rogando (0.75), cáin (0.75), creo (0.73), sevan (0.73), abel (0.72), repican (0.72)
buscarme -> parca (0.99), empujad (0.97), barca (0.88), cáin (0.76), teme (0.76), abel (0.73), dеsenmascar (0.73), rogando (0.73), creo (0.73), contemplarte (0.72)
teme -> conoce (0.81), buscarme (0.76), creada (0.74), pautas (0.72), parca (0.71), cáin (0.70), irá (0.70), brea (0.69), dеsenmascar (0.69), barbuzano (0.69)
brea -> perfumadita (0.98), brasa (0.77), canaria… (0.75), l (0.74), añora (0.74), yé (0.74), consume (0.74), eres… (0.71), rito (0.71), enciende (0.71)
perfumadita -> brea (0.98), brasa (0.78), yé (0.76), eres… (0.75), l (0.75), rito (0.74), consume (0.73), ciprés (0.73), moño (0.73), enciende (0.72)
